Student_ID,Enrollment_Date,Region,City,Course_Name,Learning_Mode,Fees_Paid,Attendance_Percent,Course_Status,Placement_Status
4000000,2023-07-10,North,Delhi,Data Science,Online,114494,94,Completed,Placed
4000001,2023-06-06,North,Lucknow,Python,Hybrid,50343,55,Completed,Not Placed
4000002,2021-07-29,South,Chennai,AI / ML,Online,109286,80,Dropped,Not Eligible
4000003,2023-02-20,North,Delhi,AI / ML,Online,123149,96,Ongoing,Not Eligible
4000004,2023-10-13,Central,Bhopal,Web Development,Offline,67755,70,Completed,Placed
4000005,2023-05-03,South,Chennai,Cyber Security,Hybrid,76458,91,Ongoing,Not Eligible
4000006,2022-08-31,South,Hyderabad,Python,Offline,56543,59,Completed,Placed
4000007,2023-11-06,South,Hyderabad,Web Development,Hybrid,60100,85,Ongoing,Not Eligible
4000008,2023-10-20,South,Chennai,Data Science,Hybrid,112099,61,Ongoing,Not Eligible
4000009,2023-04-08,West,Pune,Cloud Computing,Online,95245,65,Completed,Placed
4000010,2021-06-27,West,Pune,Cloud Computing,Offline,100302,45,Completed,Not Placed
4000011,2023-08-20,East,Bhubaneswar,Data Science,Offline,124522,81,Completed,Not Placed
4000012,2022-04-10,Central,Indore,AI / ML,Online,123846,81,Dropped,Not Eligible
4000013,2024-03-29,East,Kolkata,Data Science,Online,111578,62,Completed,Not Placed
4000014,2023-11-16,South,Hyderabad,Cyber Security,Online,99773,60,Ongoing,Not Eligible
4000015,2023-09-13,West,Pune,Python,Hybrid,56429,52,Dropped,Not Eligible
4000016,2023-01-01,South,Bangalore,Cyber Security,Online,87393,52,Completed,Placed
4000017,2022-04-16,West,Pune,Data Science,Offline,119886,52,Completed,Not Placed
4000018,2022-06-07,North,Delhi,Cloud Computing,Offline,92109,44,Completed,Not Placed
4000019,2022-07-30,North,Delhi,Web Development,Offline,76678,94,Completed,Placed
4000020,2022-06-07,South,Chennai,Data Science,Online,112011,61,Completed,Placed
4000021,2023-10-14,North,Chandigarh,Data Science,Offline,135232,51,Completed,Placed
4000022,2022-06-04,West,Ahmedabad,Cloud Computing,Online,84267,65,Dropped,Not Eligible
4000023,2021-02-12,West,Mumbai,Cyber Security,Online,113902,68,Completed,Placed
4000024,2023-05-24,North,Delhi,Web Development,Online,75554,67,Completed,Placed
4000025,2023-03-20,Central,Indore,Data Science,Offline,116829,70,Ongoing,Not Eligible
4000026,2022-03-11,East,Bhubaneswar,Python,Online,56855,44,Dropped,Not Eligible
4000027,2021-11-21,West,Mumbai,Data Science,Hybrid,125279,61,Completed,Placed
4000028,2024-03-13,North,Delhi,Web Development,Online,78379,80,Completed,Not Placed
4000029,2022-02-26,East,Kolkata,Data Science,Online,127966,70,Completed,Not Placed
4000030,2022-08-30,South,Chennai,Python,Offline,71275,51,Completed,Placed
4000031,2022-02-16,South,Chennai,Cyber Security,Online,92317,74,Dropped,Not Eligible
4000032,2024-10-13,East,Kolkata,Data Science,Online,119319,73,Completed,Placed
4000033,2023-12-27,West,Pune,Web Development,Offline,83678,85,Completed,Not Placed
4000034,2022-07-03,North,Delhi,Python,Online,47431,100,Ongoing,Not Eligible
